num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,18.0,3.0,23.0,4.0,11.0,12.0,5.0,17.0,ENTP
2.0,19.0,2.0,20.0,6.0,11.0,13.0,5.0,17.0,ENTP
3.0,16.0,5.0,22.0,5.0,10.0,13.0,4.0,18.0,ENTP
4.0,18.0,3.0,24.0,3.0,12.0,11.0,5.0,17.0,ENFP
5.0,17.0,4.0,22.0,5.0,8.0,15.0,5.0,17.0,ENTP
6.0,19.0,2.0,22.0,5.0,10.0,13.0,3.0,19.0,ENTP
7.0,17.0,4.0,20.0,6.0,13.0,11.0,5.0,17.0,ENFP
8.0,16.0,5.0,20.0,6.0,11.0,13.0,6.0,16.0,ENTP
9.0,19.0,2.0,21.0,5.0,14.0,10.0,4.0,18.0,ENFP
10.0,18.0,3.0,21.0,5.0,13.0,11.0,4.0,18.0,ENFP
11.0,19.0,2.0,22.0,5.0,13.0,10.0,6.0,16.0,ENFP
12.0,15.0,6.0,21.0,5.0,13.0,11.0,6.0,16.0,ENFP
13.0,19.0,2.0,23.0,4.0,10.0,13.0,5.0,17.0,ENTP
14.0,17.0,4.0,22.0,5.0,11.0,12.0,5.0,17.0,ENTP
15.0,16.0,5.0,19.0,7.0,14.0,10.0,4.0,18.0,ENFP
16.0,18.0,3.0,22.0,5.0,15.0,8.0,4.0,18.0,ENFP
17.0,18.0,3.0,21.0,5.0,13.0,11.0,5.0,17.0,ENFP
18.0,19.0,2.0,19.0,7.0,12.0,12.0,5.0,17.0,ENTP
19.0,17.0,4.0,22.0,4.0,10.0,14.0,5.0,17.0,ENTP
20.0,19.0,2.0,20.0,7.0,10.0,13.0,5.0,17.0,ENTP
21.0,18.0,3.0,21.0,5.0,11.0,13.0,4.0,18.0,ENTP
22.0,17.0,4.0,22.0,5.0,10.0,13.0,5.0,17.0,ENTP
23.0,17.0,4.0,21.0,6.0,9.0,14.0,4.0,18.0,ENTP
24.0,15.0,6.0,20.0,7.0,15.0,8.0,4.0,18.0,ENFP
25.0,19.0,2.0,22.0,5.0,13.0,10.0,5.0,17.0,ENFP
26.0,18.0,3.0,20.0,7.0,10.0,13.0,4.0,18.0,ENTP
27.0,15.0,6.0,22.0,5.0,11.0,12.0,4.0,18.0,ENTP
28.0,17.0,4.0,22.0,5.0,11.0,12.0,5.0,17.0,ENTP
29.0,18.0,3.0,18.0,8.0,11.0,13.0,6.0,16.0,ENTP
30.0,16.0,5.0,21.0,6.0,10.0,13.0,5.0,17.0,ENTP
31.0,17.0,4.0,21.0,6.0,10.0,13.0,6.0,16.0,ENTP
32.0,18.0,3.0,21.0,5.0,12.0,12.0,5.0,17.0,ENTP
33.0,17.0,4.0,21.0,6.0,13.0,10.0,5.0,17.0,ENFP
34.0,18.0,3.0,20.0,7.0,12.0,11.0,4.0,18.0,ENFP
35.0,17.0,4.0,21.0,5.0,6.0,18.0,5.0,17.0,ENTP
36.0,17.0,4.0,21.0,6.0,12.0,11.0,3.0,19.0,ENFP
37.0,18.0,3.0,22.0,5.0,15.0,8.0,5.0,17.0,ENFP
38.0,18.0,3.0,23.0,4.0,12.0,11.0,6.0,16.0,ENFP
39.0,17.0,4.0,20.0,7.0,10.0,13.0,5.0,17.0,ENTP
40.0,19.0,2.0,20.0,6.0,12.0,12.0,5.0,17.0,ENTP
41.0,20.0,1.0,20.0,6.0,8.0,16.0,5.0,17.0,ENTP
42.0,20.0,1.0,21.0,6.0,12.0,11.0,5.0,17.0,ENFP
43.0,19.0,2.0,22.0,4.0,10.0,14.0,4.0,18.0,ENTP
44.0,19.0,2.0,21.0,5.0,11.0,13.0,4.0,18.0,ENTP
45.0,18.0,3.0,23.0,4.0,13.0,10.0,6.0,16.0,ENFP
46.0,18.0,3.0,22.0,4.0,13.0,11.0,5.0,17.0,ENFP
47.0,17.0,4.0,20.0,6.0,12.0,12.0,5.0,17.0,ENTP
48.0,17.0,4.0,19.0,7.0,8.0,16.0,6.0,16.0,ENTP
49.0,15.0,6.0,22.0,5.0,10.0,13.0,4.0,18.0,ENTP
50.0,15.0,6.0,23.0,4.0,12.0,11.0,5.0,17.0,ENFP
51.0,16.0,5.0,20.0,6.0,12.0,12.0,5.0,17.0,ENTP
52.0,16.0,5.0,20.0,6.0,12.0,12.0,3.0,19.0,ENTP
53.0,19.0,2.0,21.0,6.0,10.0,13.0,6.0,16.0,ENTP
54.0,17.0,4.0,20.0,6.0,10.0,14.0,6.0,16.0,ENTP
55.0,17.0,4.0,22.0,5.0,11.0,12.0,5.0,17.0,ENTP
56.0,18.0,3.0,21.0,5.0,11.0,13.0,5.0,17.0,ENTP
57.0,17.0,4.0,20.0,6.0,15.0,9.0,5.0,17.0,ENFP
58.0,16.0,5.0,19.0,7.0,10.0,14.0,5.0,17.0,ENTP
59.0,16.0,5.0,23.0,4.0,11.0,12.0,4.0,18.0,ENTP
