num_of_cycles,E,I,N,S,F,T,J,P,MBTI
91.0,8.0,13.0,4.0,23.0,5.0,18.0,18.0,4.0,ISTJ
92.0,9.0,12.0,6.0,21.0,4.0,19.0,18.0,4.0,ISTJ
93.0,8.0,13.0,4.0,23.0,6.0,17.0,17.0,5.0,ISTJ
94.0,9.0,12.0,4.0,23.0,7.0,16.0,17.0,5.0,ISTJ
95.0,9.0,12.0,4.0,23.0,3.0,20.0,18.0,4.0,ISTJ
96.0,8.0,13.0,6.0,21.0,6.0,17.0,18.0,4.0,ISTJ
97.0,9.0,12.0,7.0,20.0,4.0,19.0,18.0,4.0,ISTJ
98.0,7.0,14.0,4.0,23.0,7.0,16.0,18.0,4.0,ISTJ
99.0,10.0,11.0,4.0,23.0,6.0,17.0,18.0,4.0,ISTJ
100.0,8.0,13.0,5.0,22.0,5.0,18.0,17.0,5.0,ISTJ
,810.0,1290.0,450.0,2250.0,539.0,1761.0,1710.0,490.0,
