num_of_cycles,E,I,N,S,F,T,J,P,MBTI
76.0,10.0,11.0,6.0,21.0,2.0,21.0,21.0,1.0,ISTJ
77.0,8.0,13.0,5.0,22.0,3.0,20.0,21.0,1.0,ISTJ
78.0,6.0,15.0,6.0,21.0,3.0,20.0,21.0,1.0,ISTJ
79.0,7.0,14.0,5.0,22.0,4.0,19.0,21.0,1.0,ISTJ
80.0,7.0,14.0,5.0,22.0,4.0,19.0,20.0,2.0,ISTJ
81.0,8.0,13.0,5.0,22.0,4.0,19.0,20.0,2.0,ISTJ
82.0,9.0,12.0,3.0,24.0,1.0,22.0,20.0,2.0,ISTJ
83.0,7.0,14.0,5.0,22.0,1.0,22.0,20.0,2.0,ISTJ
84.0,7.0,14.0,6.0,21.0,4.0,19.0,22.0,0.0,ISTJ
85.0,8.0,13.0,5.0,22.0,1.0,22.0,21.0,1.0,ISTJ
86.0,8.0,13.0,6.0,21.0,4.0,19.0,20.0,2.0,ISTJ
87.0,8.0,13.0,6.0,21.0,3.0,20.0,21.0,1.0,ISTJ
88.0,8.0,13.0,6.0,21.0,3.0,20.0,21.0,1.0,ISTJ
89.0,7.0,14.0,6.0,21.0,1.0,22.0,21.0,1.0,ISTJ
90.0,9.0,12.0,4.0,23.0,1.0,22.0,22.0,0.0,ISTJ
91.0,9.0,12.0,2.0,25.0,1.0,22.0,21.0,1.0,ISTJ
92.0,7.0,14.0,3.0,24.0,2.0,21.0,20.0,2.0,ISTJ
93.0,10.0,11.0,6.0,21.0,5.0,18.0,20.0,2.0,ISTJ
94.0,9.0,12.0,4.0,23.0,1.0,22.0,21.0,1.0,ISTJ
95.0,8.0,13.0,5.0,22.0,3.0,20.0,20.0,2.0,ISTJ
96.0,8.0,13.0,8.0,19.0,3.0,20.0,22.0,0.0,ISTJ
97.0,8.0,13.0,6.0,21.0,2.0,21.0,21.0,1.0,ISTJ
98.0,9.0,12.0,6.0,21.0,3.0,20.0,20.0,2.0,ISTJ
99.0,10.0,11.0,4.0,23.0,3.0,20.0,21.0,1.0,ISTJ
100.0,6.0,15.0,4.0,23.0,2.0,21.0,21.0,1.0,ISTJ
,784.0,1316.0,502.0,2198.0,235.0,2065.0,2073.0,127.0,
