num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1.0,20.0,1.0,24.0,3.0,1.0,22.0,5.0,17.0,ENTP
2.0,21.0,0.0,24.0,3.0,4.0,19.0,5.0,17.0,ENTP
3.0,20.0,1.0,27.0,0.0,2.0,21.0,4.0,18.0,ENTP
4.0,20.0,1.0,26.0,1.0,1.0,22.0,5.0,17.0,ENTP
5.0,21.0,0.0,26.0,1.0,1.0,22.0,5.0,17.0,ENTP
6.0,21.0,0.0,26.0,1.0,2.0,21.0,5.0,17.0,ENTP
7.0,20.0,1.0,26.0,1.0,2.0,21.0,5.0,17.0,ENTP
8.0,21.0,0.0,25.0,2.0,0.0,23.0,6.0,16.0,ENTP
9.0,21.0,0.0,24.0,3.0,1.0,22.0,6.0,16.0,ENTP
10.0,21.0,0.0,26.0,1.0,1.0,22.0,6.0,16.0,ENTP
11.0,20.0,1.0,26.0,1.0,3.0,20.0,6.0,16.0,ENTP
12.0,20.0,1.0,26.0,1.0,2.0,21.0,3.0,19.0,ENTP
13.0,20.0,1.0,25.0,2.0,3.0,20.0,7.0,15.0,ENTP
14.0,21.0,0.0,26.0,1.0,2.0,21.0,7.0,15.0,ENTP
15.0,21.0,0.0,26.0,1.0,2.0,21.0,6.0,16.0,ENTP
16.0,20.0,1.0,27.0,0.0,1.0,22.0,5.0,17.0,ENTP
17.0,20.0,1.0,26.0,1.0,1.0,22.0,6.0,16.0,ENTP
18.0,21.0,0.0,25.0,2.0,1.0,22.0,8.0,14.0,ENTP
19.0,21.0,0.0,25.0,2.0,1.0,22.0,5.0,17.0,ENTP
20.0,21.0,0.0,25.0,2.0,1.0,22.0,6.0,16.0,ENTP
21.0,19.0,2.0,26.0,1.0,0.0,23.0,4.0,18.0,ENTP
22.0,21.0,0.0,24.0,3.0,1.0,22.0,5.0,17.0,ENTP
23.0,21.0,0.0,25.0,2.0,2.0,21.0,6.0,16.0,ENTP
24.0,20.0,1.0,26.0,1.0,2.0,21.0,8.0,14.0,ENTP
25.0,20.0,1.0,26.0,1.0,4.0,19.0,6.0,16.0,ENTP
26.0,21.0,0.0,27.0,0.0,2.0,21.0,7.0,15.0,ENTP
