num_of_cycles,E,I,N,S,F,T,J,P,MBTI
78.0,14.0,7.0,23.0,4.0,11.0,12.0,6.0,16.0,ENTP
79.0,16.0,5.0,25.0,2.0,15.0,8.0,7.0,15.0,ENFP
80.0,14.0,7.0,27.0,0.0,14.0,9.0,8.0,14.0,ENFP
81.0,12.0,9.0,26.0,1.0,13.0,10.0,7.0,15.0,ENFP
82.0,15.0,6.0,26.0,1.0,14.0,9.0,7.0,15.0,ENFP
83.0,15.0,6.0,26.0,1.0,14.0,9.0,7.0,15.0,ENFP
84.0,14.0,7.0,25.0,1.0,10.0,14.0,6.0,16.0,ENTP
85.0,13.0,8.0,26.0,1.0,16.0,7.0,7.0,15.0,ENFP
86.0,16.0,5.0,26.0,1.0,13.0,10.0,6.0,16.0,ENFP
87.0,13.0,8.0,25.0,2.0,16.0,7.0,6.0,16.0,ENFP
88.0,12.0,9.0,27.0,0.0,16.0,7.0,6.0,16.0,ENFP
89.0,13.0,8.0,26.0,1.0,15.0,8.0,7.0,15.0,ENFP
90.0,12.0,9.0,25.0,2.0,17.0,6.0,8.0,14.0,ENFP
91.0,13.0,8.0,25.0,1.0,13.0,11.0,7.0,15.0,ENFP
92.0,15.0,6.0,26.0,1.0,15.0,8.0,6.0,16.0,ENFP
93.0,16.0,5.0,26.0,0.0,12.0,12.0,6.0,16.0,ENTP
94.0,12.0,9.0,25.0,2.0,14.0,9.0,9.0,13.0,ENFP
95.0,14.0,7.0,27.0,0.0,16.0,7.0,7.0,15.0,ENFP
96.0,12.0,9.0,25.0,1.0,15.0,9.0,6.0,16.0,ENFP
97.0,13.0,8.0,26.0,1.0,12.0,11.0,5.0,17.0,ENFP
98.0,16.0,5.0,26.0,1.0,17.0,6.0,8.0,14.0,ENFP
99.0,15.0,6.0,26.0,1.0,11.0,12.0,6.0,16.0,ENTP
100.0,14.0,7.0,27.0,0.0,16.0,7.0,7.0,15.0,ENFP
,1373.0,727.0,2596.0,85.0,1432.0,887.0,678.0,1522.0,
