Cycle,Code,Role,Values
1,ENFP-T,Campaigner,"[61, 54, 21, 32, 49]"
2,ESFP-A,Entertainer,"[69, 47, 29, 29, 61]"
3,ESFP-A,Entertainer,"[68, 45, 26, 28, 60]"
4,ESFP-A,Entertainer,"[63, 47, 26, 26, 53]"
5,ENFP-A,Campaigner,"[56, 51, 26, 33, 60]"
6,ESFP-A,Entertainer,"[63, 48, 18, 32, 51]"
7,ENFP-T,Campaigner,"[63, 51, 31, 29, 49]"
8,ESFP-A,Entertainer,"[61, 45, 24, 36, 61]"
9,ESFP-A,Entertainer,"[58, 48, 25, 29, 64]"
10,ESFP-A,Entertainer,"[54, 45, 31, 35, 51]"
11,ESFP-A,Entertainer,"[65, 47, 28, 29, 57]"
12,ESFP-A,Entertainer,"[57, 47, 25, 26, 57]"
13,ESFP-A,Entertainer,"[64, 47, 24, 28, 53]"
14,ESFP-A,Entertainer,"[61, 45, 35, 29, 54]"
15,ESFP-A,Entertainer,"[57, 46, 28, 24, 56]"
16,ESFP-T,Entertainer,"[57, 43, 26, 28, 49]"
17,ESFP-A,Entertainer,"[57, 46, 18, 26, 68]"
18,ESFP-A,Entertainer,"[63, 47, 25, 28, 63]"
19,ESFP-A,Entertainer,"[60, 43, 22, 24, 54]"
20,ESFP-A,Entertainer,"[58, 45, 29, 29, 63]"
21,ESFP-A,Entertainer,"[60, 42, 31, 24, 58]"
22,ESFP-T,Entertainer,"[63, 47, 22, 32, 49]"
23,ENFP-A,Campaigner,"[60, 51, 32, 29, 60]"
24,ENFP-A,Campaigner,"[61, 53, 21, 26, 60]"
25,ESFP-A,Entertainer,"[54, 45, 26, 22, 53]"
26,ESFP-A,Entertainer,"[60, 47, 26, 25, 56]"
27,ESFP-A,Entertainer,"[64, 45, 22, 25, 64]"
28,ESFP-A,Entertainer,"[67, 43, 21, 32, 68]"
29,ENFP-A,Campaigner,"[61, 51, 31, 26, 58]"
30,ENFP-T,Campaigner,"[60, 54, 33, 28, 49]"
31,ESFP-A,Entertainer,"[56, 46, 24, 21, 67]"
32,ESFP-A,Entertainer,"[63, 45, 19, 26, 64]"
33,ESFP-A,Entertainer,"[60, 48, 25, 25, 63]"
34,ESFP-A,Entertainer,"[67, 46, 28, 28, 68]"
35,ESFP-A,Entertainer,"[68, 42, 24, 29, 57]"
36,ENFP-A,Campaigner,"[63, 54, 32, 28, 60]"
37,ESFP-A,Entertainer,"[60, 48, 26, 36, 53]"
38,ESFP-A,Entertainer,"[58, 46, 29, 25, 57]"
39,ESFP-A,Entertainer,"[63, 45, 18, 33, 54]"
40,ESFP-A,Entertainer,"[56, 48, 28, 31, 60]"
41,ESFP-A,Entertainer,"[56, 43, 19, 31, 54]"
42,ENFP-A,Campaigner,"[56, 53, 35, 32, 65]"
43,ESFP-A,Entertainer,"[54, 48, 24, 24, 58]"
44,ENFP-T,Campaigner,"[58, 52, 31, 24, 49]"
45,ESFP-A,Entertainer,"[57, 43, 25, 22, 57]"
46,ESFP-A,Entertainer,"[58, 46, 28, 29, 51]"
47,ENFP-A,Campaigner,"[57, 52, 32, 26, 65]"
48,ESFP-A,Entertainer,"[63, 48, 35, 33, 57]"
49,ESFP-A,Entertainer,"[61, 47, 19, 32, 65]"
50,ESFP-A,Entertainer,"[54, 45, 24, 31, 67]"
51,ESFP-T,Entertainer,"[63, 45, 24, 28, 49]"
52,ESFP-A,Entertainer,"[65, 48, 25, 29, 56]"
53,ESFP-A,Entertainer,"[54, 46, 26, 26, 57]"
54,ESFP-A,Entertainer,"[69, 47, 28, 29, 60]"
55,ENFP-A,Campaigner,"[61, 51, 26, 28, 63]"
56,ENFP-A,Campaigner,"[61, 53, 25, 33, 68]"
57,ESFP-A,Entertainer,"[61, 48, 31, 25, 65]"
58,ESFP-A,Entertainer,"[72, 48, 18, 29, 58]"
59,ESFP-A,Entertainer,"[64, 48, 26, 28, 58]"
60,ESFP-A,Entertainer,"[64, 46, 29, 32, 63]"
61,ESFP-A,Entertainer,"[60, 48, 33, 25, 56]"
62,ESFP-A,Entertainer,"[61, 43, 32, 28, 56]"
63,ESFP-T,Entertainer,"[63, 47, 24, 28, 49]"
64,ESFP-A,Entertainer,"[56, 48, 29, 25, 56]"
65,ENFP-A,Campaigner,"[58, 53, 25, 32, 54]"
66,ESFP-A,Entertainer,"[58, 48, 31, 31, 56]"
67,ESFP-A,Entertainer,"[58, 47, 28, 31, 58]"
68,ENFP-A,Campaigner,"[65, 51, 24, 29, 51]"
69,ENFP-A,Campaigner,"[64, 51, 22, 25, 65]"
70,ESFP-A,Entertainer,"[51, 42, 21, 26, 53]"
71,ESFP-A,Entertainer,"[64, 42, 35, 26, 65]"
72,ENFP-A,Campaigner,"[60, 56, 29, 19, 56]"
73,ENFP-T,Campaigner,"[54, 51, 26, 28, 49]"
74,ESFP-A,Entertainer,"[63, 43, 25, 25, 56]"
75,ESFP-A,Entertainer,"[63, 47, 31, 26, 58]"
76,ESFP-A,Entertainer,"[63, 43, 29, 26, 68]"
77,ENFP-A,Campaigner,"[56, 52, 24, 26, 56]"
78,ESFP-A,Entertainer,"[60, 45, 18, 26, 69]"
79,ENFP-A,Campaigner,"[64, 51, 26, 22, 51]"
80,ESFP-A,Entertainer,"[63, 46, 21, 32, 63]"
81,ESFP-A,Entertainer,"[63, 45, 22, 25, 61]"
82,ESFP-A,Entertainer,"[60, 47, 35, 26, 60]"
83,ENFP-A,Campaigner,"[69, 53, 32, 25, 63]"
84,ESFP-A,Entertainer,"[63, 45, 21, 31, 56]"
85,ENFP-A,Campaigner,"[58, 53, 36, 35, 53]"
86,ESFP-A,Entertainer,"[61, 46, 22, 31, 58]"
87,ESFP-A,Entertainer,"[61, 46, 24, 33, 56]"
88,ESFP-A,Entertainer,"[60, 43, 25, 26, 53]"
89,ESFP-A,Entertainer,"[57, 43, 32, 33, 69]"
90,ESFP-A,Entertainer,"[58, 46, 26, 28, 57]"
91,ESFP-T,Entertainer,"[58, 46, 21, 25, 47]"
92,ESFP-A,Entertainer,"[64, 43, 21, 31, 53]"
93,ESFP-A,Entertainer,"[58, 45, 25, 24, 57]"
94,ESFP-A,Entertainer,"[69, 47, 26, 29, 60]"
95,ESFP-A,Entertainer,"[54, 43, 25, 31, 65]"
96,ESFP-A,Entertainer,"[57, 41, 24, 35, 64]"
97,ESFP-A,Entertainer,"[56, 46, 29, 29, 54]"
98,ENFP-A,Campaigner,"[53, 52, 25, 21, 60]"
99,ESFP-A,Entertainer,"[67, 45, 28, 28, 64]"
100,ESFP-A,Entertainer,"[60, 43, 22, 25, 64]"
