num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1,20,1,26,0,21,3,2,20,ENFP
2,20,1,27,0,22,1,2,20,ENFP
3,19,2,26,0,21,3,3,19,ENFP
4,20,1,26,0,20,4,2,20,ENFP
5,20,1,27,0,22,1,4,18,ENFP
6,20,1,25,1,21,3,2,20,ENFP
7,20,1,27,0,22,1,3,19,ENFP
8,19,2,26,0,22,2,3,19,ENFP
9,19,2,26,0,21,3,3,19,ENFP
10,19,2,26,0,21,3,3,19,ENFP
11,19,2,26,0,21,3,3,19,ENFP
12,18,3,26,0,21,3,3,19,ENFP
13,19,2,26,1,21,2,2,20,ENFP
14,19,2,26,0,21,3,2,20,ENFP
15,19,2,26,0,20,4,3,19,ENFP
16,21,0,27,0,20,3,3,19,ENFP
17,21,0,25,1,20,4,4,18,ENFP
18,20,1,26,0,22,2,2,20,ENFP
19,19,2,26,0,22,2,3,19,ENFP
20,20,1,26,0,22,2,4,18,ENFP
21,19,2,25,1,22,2,3,19,ENFP
22,20,1,27,0,20,3,2,20,ENFP
23,20,1,26,1,21,2,2,20,ENFP
24,20,1,27,0,21,2,2,20,ENFP
25,19,2,26,1,21,2,4,18,ENFP
26,19,2,27,0,22,1,3,19,ENFP
27,20,1,25,1,22,2,3,19,ENFP
28,20,1,26,0,21,3,3,19,ENFP
29,19,2,25,1,21,3,2,20,ENFP
30,19,2,25,1,21,3,3,19,ENFP
31,18,3,25,1,21,3,3,19,ENFP
32,18,3,26,0,21,3,3,19,ENFP
33,19,2,25,1,22,2,4,18,ENFP
34,21,0,26,1,22,1,2,20,ENFP
35,19,2,26,0,21,3,3,19,ENFP
36,20,1,27,0,21,2,3,19,ENFP
37,20,1,26,0,21,3,2,20,ENFP
38,19,2,27,0,21,2,2,20,ENFP
39,19,2,26,1,22,1,3,19,ENFP
40,19,2,25,1,21,3,3,19,ENFP
41,19,2,25,1,21,3,4,18,ENFP
42,19,2,26,0,22,2,3,19,ENFP
43,19,2,25,1,22,2,3,19,ENFP
44,18,3,26,1,21,2,3,19,ENFP
45,19,2,26,1,21,2,2,20,ENFP
46,20,1,27,0,21,2,3,19,ENFP
47,20,1,26,0,21,3,2,20,ENFP
48,20,1,25,1,22,2,2,20,ENFP
49,20,1,25,1,22,2,3,19,ENFP
50,20,1,25,1,22,2,2,20,ENFP
51,19,2,27,0,20,3,3,19,ENFP
52,19,2,26,0,20,4,4,18,ENFP
53,20,1,26,0,20,4,3,19,ENFP
54,20,1,25,1,21,3,4,18,ENFP
55,20,1,26,0,21,3,3,19,ENFP
56,20,1,26,1,21,2,3,19,ENFP
57,20,1,25,1,21,3,3,19,ENFP
58,19,2,26,0,21,3,3,19,ENFP
59,18,3,25,1,21,3,2,20,ENFP
60,20,1,26,1,20,3,2,20,ENFP
61,20,1,27,0,21,2,3,19,ENFP
62,19,2,25,1,20,4,3,19,ENFP
63,20,1,26,1,21,2,2,20,ENFP
64,20,1,25,1,21,3,2,20,ENFP
65,19,2,26,0,21,3,3,19,ENFP
66,21,0,25,1,20,4,2,20,ENFP
67,20,1,26,1,22,1,3,19,ENFP
68,19,2,27,0,21,2,3,19,ENFP
69,18,3,25,1,21,3,4,18,ENFP
70,20,1,27,0,22,1,4,18,ENFP
71,19,2,26,0,22,2,3,19,ENFP
72,20,1,25,1,22,2,2,20,ENFP
73,19,2,25,1,22,2,2,20,ENFP
74,19,2,26,1,22,1,2,20,ENFP
75,21,0,26,1,20,3,3,19,ENFP
76,20,1,27,0,22,1,3,19,ENFP
77,20,1,27,0,20,3,2,20,ENFP
78,21,0,26,0,20,4,2,20,ENFP
79,20,1,26,0,22,2,2,20,ENFP
80,21,0,25,1,20,4,2,20,ENFP
81,19,2,25,1,21,3,2,20,ENFP
82,20,1,27,0,21,2,3,19,ENFP
83,19,2,26,0,21,3,4,18,ENFP
84,18,3,26,1,21,2,2,20,ENFP
85,20,1,27,0,21,2,2,20,ENFP
86,19,2,26,0,21,3,4,18,ENFP
87,20,1,27,0,21,2,3,19,ENFP
88,18,3,25,1,21,3,2,20,ENFP
89,20,1,26,0,21,3,2,20,ENFP
90,20,1,27,0,22,1,4,18,ENFP
91,19,2,27,0,21,2,2,20,ENFP
92,20,1,26,0,21,3,5,17,ENFP
93,19,2,25,1,21,3,3,19,ENFP
94,19,2,27,0,21,2,3,19,ENFP
95,20,1,27,0,22,1,4,18,ENFP
96,19,2,27,0,20,3,4,18,ENFP
97,20,1,26,0,20,4,3,19,ENFP
98,21,0,25,1,22,2,4,18,ENFP
99,20,1,27,0,21,2,3,19,ENFP
100,20,1,27,0,21,2,3,19,ENFP
,1953,147,2598,42,2112,248,282,1918,
