Cycle,Code,Role,Values
1,ENFP-A,Campaigner,"[69, 60, 28, 22, 60]"
2,ENFP-A,Campaigner,"[71, 56, 33, 22, 76]"
3,ENFP-A,Campaigner,"[75, 54, 32, 14, 68]"
4,ENFP-A,Campaigner,"[64, 64, 32, 14, 67]"
5,ENFP-A,Campaigner,"[64, 59, 28, 18, 64]"
6,ENFP-A,Campaigner,"[67, 60, 31, 14, 64]"
7,ENFP-A,Campaigner,"[68, 57, 36, 22, 68]"
8,ENFP-A,Campaigner,"[61, 59, 35, 12, 64]"
9,ENFP-A,Campaigner,"[67, 57, 39, 21, 61]"
10,ENFP-A,Campaigner,"[64, 57, 32, 10, 64]"
11,ENFP-A,Campaigner,"[72, 56, 32, 18, 64]"
12,ENFP-A,Campaigner,"[64, 53, 35, 14, 64]"
13,ENFP-A,Campaigner,"[64, 59, 25, 10, 69]"
14,ENFP-A,Campaigner,"[67, 54, 35, 17, 54]"
15,ENFP-A,Campaigner,"[68, 54, 36, 28, 60]"
16,ENFP-A,Campaigner,"[65, 60, 35, 18, 63]"
17,ENFP-A,Campaigner,"[64, 61, 37, 18, 64]"
18,ENFP-A,Campaigner,"[65, 60, 36, 11, 64]"
19,ENFP-A,Campaigner,"[71, 61, 32, 25, 51]"
20,ENFP-A,Campaigner,"[68, 57, 42, 15, 65]"
21,ENFP-A,Campaigner,"[68, 54, 36, 12, 61]"
22,ENFP-A,Campaigner,"[64, 54, 35, 17, 67]"
23,ENFP-A,Campaigner,"[71, 59, 32, 17, 56]"
24,ENFP-A,Campaigner,"[68, 53, 36, 18, 75]"
25,ENFP-A,Campaigner,"[61, 54, 31, 10, 58]"
26,ENFP-A,Campaigner,"[67, 60, 36, 12, 57]"
27,ENFP-A,Campaigner,"[67, 52, 35, 7, 63]"
28,ESFP-A,Entertainer,"[64, 46, 36, 14, 57]"
29,ENFP-A,Campaigner,"[67, 57, 32, 10, 60]"
30,ENFP-A,Campaigner,"[67, 56, 36, 19, 56]"
31,ESFP-A,Entertainer,"[61, 47, 40, 22, 69]"
32,ENFP-A,Campaigner,"[67, 53, 39, 18, 71]"
33,ENFP-A,Campaigner,"[72, 67, 31, 25, 60]"
34,ENFP-A,Campaigner,"[68, 59, 36, 21, 57]"
35,ENFP-A,Campaigner,"[64, 51, 33, 11, 67]"
36,ENFP-A,Campaigner,"[65, 56, 35, 11, 54]"
37,ENFP-A,Campaigner,"[71, 53, 32, 19, 67]"
38,ENFP-A,Campaigner,"[64, 51, 28, 25, 65]"
39,ESFP-A,Entertainer,"[67, 47, 31, 17, 56]"
40,ENFP-A,Campaigner,"[61, 53, 32, 14, 64]"
41,ENFP-A,Campaigner,"[69, 54, 35, 18, 53]"
42,ENFP-A,Campaigner,"[67, 53, 40, 17, 72]"
43,ENFP-A,Campaigner,"[61, 53, 25, 10, 65]"
44,ENFP-A,Campaigner,"[69, 56, 33, 14, 64]"
45,ENFP-A,Campaigner,"[68, 56, 33, 14, 68]"
46,ENFP-A,Campaigner,"[74, 59, 26, 18, 69]"
47,ENFP-A,Campaigner,"[65, 61, 36, 11, 68]"
48,ENFP-A,Campaigner,"[67, 60, 40, 10, 57]"
49,ENFP-T,Campaigner,"[68, 51, 40, 18, 49]"
50,ENFP-A,Campaigner,"[68, 54, 40, 21, 67]"
51,ENFP-A,Campaigner,"[68, 57, 31, 14, 64]"
52,ENFP-A,Campaigner,"[67, 51, 36, 8, 61]"
53,ENFP-A,Campaigner,"[69, 61, 40, 24, 58]"
54,ENFP-A,Campaigner,"[63, 57, 33, 8, 64]"
55,ENFP-A,Campaigner,"[69, 57, 33, 18, 64]"
56,ENFP-A,Campaigner,"[72, 57, 35, 6, 67]"
57,ENFP-A,Campaigner,"[61, 63, 43, 14, 64]"
58,ENFP-A,Campaigner,"[67, 59, 35, 17, 65]"
59,ESFP-A,Entertainer,"[69, 48, 36, 8, 63]"
60,ENFP-A,Campaigner,"[65, 56, 33, 28, 60]"
61,ENFP-A,Campaigner,"[65, 57, 26, 4, 54]"
62,ENFP-A,Campaigner,"[68, 59, 42, 18, 64]"
63,ENFP-A,Campaigner,"[72, 60, 39, 8, 64]"
64,ENFP-A,Campaigner,"[67, 63, 35, 18, 68]"
65,ENFP-A,Campaigner,"[68, 53, 33, 14, 75]"
66,ENFP-A,Campaigner,"[71, 56, 32, 21, 68]"
67,ENFP-A,Campaigner,"[68, 54, 35, 14, 67]"
68,ENFP-A,Campaigner,"[72, 52, 29, 14, 67]"
69,ENFP-A,Campaigner,"[74, 60, 43, 24, 74]"
70,ENFP-A,Campaigner,"[67, 54, 35, 10, 57]"
71,ENFP-A,Campaigner,"[67, 53, 42, 11, 65]"
72,ENFP-A,Campaigner,"[67, 63, 37, 10, 72]"
73,ENFP-A,Campaigner,"[65, 56, 39, 11, 54]"
74,ENFP-A,Campaigner,"[64, 63, 32, 14, 65]"
75,ENFP-A,Campaigner,"[75, 61, 42, 17, 56]"
76,ENFP-A,Campaigner,"[67, 56, 35, 17, 60]"
77,ENFP-A,Campaigner,"[69, 54, 31, 18, 63]"
78,ENFP-A,Campaigner,"[68, 51, 36, 24, 68]"
79,ENFP-A,Campaigner,"[74, 53, 39, 19, 65]"
80,ENFP-A,Campaigner,"[64, 60, 35, 17, 65]"
81,ENFP-A,Campaigner,"[64, 52, 36, 8, 64]"
82,ENFP-A,Campaigner,"[64, 57, 29, 12, 64]"
83,ENFP-A,Campaigner,"[71, 60, 32, 15, 64]"
84,ENFP-A,Campaigner,"[63, 54, 33, 8, 61]"
85,ESFP-A,Entertainer,"[68, 47, 33, 10, 61]"
86,ENFP-A,Campaigner,"[68, 63, 28, 15, 74]"
87,ENFP-A,Campaigner,"[65, 57, 31, 17, 71]"
88,ENFP-A,Campaigner,"[67, 59, 39, 22, 67]"
89,ENFP-A,Campaigner,"[71, 52, 24, 17, 68]"
90,ENFP-A,Campaigner,"[72, 61, 31, 12, 67]"
91,ENFP-A,Campaigner,"[69, 61, 36, 12, 67]"
92,ENFP-A,Campaigner,"[69, 53, 36, 18, 67]"
93,ENFP-A,Campaigner,"[69, 61, 31, 17, 61]"
94,ENFP-A,Campaigner,"[67, 64, 29, 10, 56]"
95,ENFP-A,Campaigner,"[65, 59, 35, 25, 67]"
96,ENFP-A,Campaigner,"[69, 60, 32, 10, 64]"
97,ENFP-A,Campaigner,"[68, 60, 40, 21, 60]"
98,ENFP-A,Campaigner,"[69, 56, 31, 12, 61]"
99,ENFP-A,Campaigner,"[69, 61, 29, 24, 60]"
100,ENFP-A,Campaigner,"[69, 53, 31, 12, 68]"
