Cycle,Code,Role,Values
1,ENFP-A,Campaigner,"[61, 51, 39, 31, 72]"
2,ESFP-A,Entertainer,"[64, 47, 42, 40, 69]"
3,ESFP-A,Entertainer,"[58, 46, 39, 25, 58]"
4,ENFP-A,Campaigner,"[57, 53, 44, 35, 60]"
5,ENFP-A,Campaigner,"[64, 54, 42, 39, 65]"
6,ESFP-A,Entertainer,"[54, 45, 39, 29, 75]"
7,ENFP-A,Campaigner,"[61, 56, 47, 31, 71]"
8,ESFP-A,Entertainer,"[63, 48, 44, 28, 69]"
9,ENFP-A,Campaigner,"[71, 52, 44, 31, 74]"
10,ESFP-A,Entertainer,"[54, 45, 47, 33, 71]"
11,ESFP-A,Entertainer,"[65, 45, 39, 31, 67]"
12,ESFP-A,Entertainer,"[61, 45, 40, 26, 72]"
13,ENFP-A,Campaigner,"[53, 53, 49, 25, 61]"
14,ENFP-A,Campaigner,"[53, 57, 42, 28, 67]"
15,ENFP-A,Campaigner,"[65, 54, 36, 31, 64]"
16,ESFP-A,Entertainer,"[61, 43, 43, 26, 63]"
17,ENFP-A,Campaigner,"[63, 53, 39, 35, 64]"
18,ENFP-A,Campaigner,"[57, 51, 44, 42, 64]"
19,ENFP-A,Campaigner,"[64, 54, 33, 33, 64]"
20,ENFP-A,Campaigner,"[56, 53, 37, 32, 56]"
21,ESFP-A,Entertainer,"[61, 47, 36, 33, 71]"
22,ENFP-A,Campaigner,"[57, 53, 47, 36, 72]"
23,ESFP-A,Entertainer,"[57, 48, 32, 21, 64]"
24,ENFP-A,Campaigner,"[63, 51, 39, 31, 68]"
25,ESFP-A,Entertainer,"[60, 45, 44, 33, 68]"
26,ENFP-A,Campaigner,"[65, 52, 44, 36, 64]"
27,ENFP-A,Campaigner,"[56, 53, 33, 29, 69]"
28,ESFP-A,Entertainer,"[61, 48, 42, 39, 64]"
29,ESFP-A,Entertainer,"[61, 46, 35, 33, 61]"
30,ESFP-A,Entertainer,"[58, 47, 49, 32, 69]"
31,ENTP-A,Debater,"[61, 63, 53, 28, 69]"
32,ENFP-A,Campaigner,"[58, 51, 39, 25, 69]"
33,ENFP-A,Campaigner,"[61, 53, 42, 25, 67]"
34,ESFP-A,Entertainer,"[60, 36, 42, 31, 72]"
35,ESFP-A,Entertainer,"[64, 42, 36, 31, 72]"
36,ENFP-A,Campaigner,"[63, 59, 39, 31, 72]"
37,ENFP-A,Campaigner,"[61, 56, 39, 29, 75]"
38,ESFP-A,Entertainer,"[58, 46, 33, 37, 74]"
39,ENFP-A,Campaigner,"[64, 51, 44, 29, 71]"
40,ENFP-A,Campaigner,"[60, 51, 47, 39, 67]"
41,ENFP-A,Campaigner,"[54, 56, 35, 22, 69]"
42,ESFP-A,Entertainer,"[67, 48, 49, 26, 64]"
43,ENFP-A,Campaigner,"[58, 51, 42, 33, 61]"
44,ENFP-A,Campaigner,"[69, 52, 42, 31, 61]"
45,ENFP-A,Campaigner,"[61, 59, 36, 33, 72]"
46,ESFP-A,Entertainer,"[57, 48, 42, 19, 72]"
47,ENFP-A,Campaigner,"[63, 53, 36, 33, 78]"
48,ENFP-A,Campaigner,"[56, 53, 39, 39, 74]"
49,ESFP-A,Entertainer,"[64, 39, 39, 31, 69]"
50,ENTP-A,Debater,"[67, 61, 58, 37, 64]"
51,ENTP-A,Debater,"[53, 54, 56, 33, 67]"
52,ENFP-A,Campaigner,"[53, 56, 36, 28, 75]"
53,ESFP-A,Entertainer,"[61, 47, 39, 31, 71]"
54,ENFP-A,Campaigner,"[58, 53, 46, 36, 75]"
55,ESFP-A,Entertainer,"[61, 42, 40, 35, 63]"
56,ESFP-A,Entertainer,"[68, 45, 42, 32, 72]"
57,ENFP-A,Campaigner,"[61, 51, 39, 29, 78]"
