Cycle,Code,Role,Values
1,ESFJ-A,Consul,"[61, 42, 40, 58, 60]"
2,ESFJ-T,Consul,"[57, 47, 42, 61, 47]"
3,ESFJ-A,Consul,"[61, 38, 42, 51, 54]"
4,ENFJ-T,Protagonist,"[61, 54, 44, 65, 47]"
5,ESFJ-A,Consul,"[64, 48, 37, 53, 57]"
6,ESFJ-T,Consul,"[60, 47, 37, 61, 47]"
7,ESFJ-A,Consul,"[58, 46, 44, 57, 53]"
8,ESFJ-A,Consul,"[63, 39, 37, 57, 56]"
9,ESFJ-A,Consul,"[56, 41, 37, 53, 58]"
10,ESFJ-A,Consul,"[60, 42, 43, 64, 60]"
11,ESFJ-A,Consul,"[65, 45, 43, 65, 57]"
12,ESFJ-T,Consul,"[54, 43, 39, 63, 49]"
13,ESFJ-A,Consul,"[57, 43, 46, 61, 56]"
14,ESFJ-A,Consul,"[61, 46, 46, 57, 67]"
15,ESFJ-A,Consul,"[61, 43, 46, 57, 63]"
16,ESFJ-A,Consul,"[69, 39, 40, 61, 61]"
17,ESFJ-A,Consul,"[60, 48, 33, 58, 56]"
18,ESFP-A,Entertainer,"[54, 42, 46, 49, 60]"
19,ESFJ-T,Consul,"[61, 46, 39, 57, 49]"
20,ESFJ-T,Consul,"[64, 45, 42, 63, 49]"
21,ESFJ-A,Consul,"[63, 48, 42, 64, 53]"
22,ESFJ-A,Consul,"[56, 45, 35, 56, 63]"
23,ESFJ-T,Consul,"[61, 42, 43, 64, 47]"
24,ESFJ-A,Consul,"[63, 43, 42, 63, 60]"
25,ESFJ-A,Consul,"[65, 45, 46, 60, 61]"
26,ENFJ-A,Protagonist,"[56, 51, 37, 54, 53]"
27,ESFJ-A,Consul,"[67, 48, 39, 57, 51]"
28,ESFJ-A,Consul,"[60, 41, 37, 65, 60]"
29,ESFJ-A,Consul,"[63, 46, 37, 60, 67]"
30,ENFJ-A,Protagonist,"[60, 60, 33, 60, 53]"
31,ENFJ-A,Protagonist,"[56, 56, 44, 65, 53]"
32,ENFJ-A,Protagonist,"[64, 53, 40, 63, 51]"
33,ESFJ-A,Consul,"[53, 46, 33, 56, 60]"
34,ESFJ-A,Consul,"[67, 46, 39, 53, 57]"
35,ESFJ-A,Consul,"[61, 46, 40, 65, 69]"
36,ESFP-A,Entertainer,"[57, 41, 44, 47, 53]"
37,ENFJ-T,Protagonist,"[75, 60, 36, 57, 47]"
38,ESFJ-A,Consul,"[63, 42, 36, 75, 54]"
39,ESFJ-T,Consul,"[65, 46, 44, 63, 49]"
40,ENFJ-T,Protagonist,"[57, 52, 36, 60, 49]"
41,ENFJ-A,Protagonist,"[64, 60, 42, 67, 53]"
