num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1,1,20,15,12,10,13,17,5,INTJ
2,1,20,15,12,11,12,15,7,INTJ
3,1,20,14,13,12,11,16,6,INFJ
4,1,20,17,10,11,12,15,7,INTJ
5,1,20,15,12,10,13,14,8,INTJ
6,1,20,16,11,12,11,15,7,INFJ
7,1,20,15,12,11,12,16,6,INTJ
8,1,20,15,12,10,13,15,7,INTJ
9,1,20,14,13,9,14,16,6,INTJ
10,1,20,14,13,11,12,16,6,INTJ
11,1,20,15,12,9,14,15,7,INTJ
12,1,20,13,14,12,11,15,7,ISFJ
13,1,20,15,12,13,10,17,5,INFJ
14,1,20,15,12,12,11,15,7,INFJ
15,1,20,15,12,12,11,14,8,INFJ
16,1,20,15,12,11,12,17,5,INTJ
17,1,20,14,13,11,12,16,6,INTJ
18,1,20,15,12,12,11,15,7,INFJ
19,1,20,15,12,10,13,16,6,INTJ
20,1,20,14,13,10,13,15,7,INTJ
21,1,20,14,13,9,14,16,6,INTJ
22,1,20,15,12,10,13,14,8,INTJ
23,1,20,14,13,10,13,15,7,INTJ
24,1,20,15,12,10,13,14,8,INTJ
25,1,20,16,11,11,12,15,7,INTJ
26,1,20,16,11,9,14,14,8,INTJ
27,1,20,15,12,12,11,14,8,INFJ
28,1,20,15,12,12,11,16,6,INFJ
29,1,20,16,11,10,13,15,7,INTJ
30,1,20,15,12,11,12,15,7,INTJ
31,1,20,13,14,9,14,15,7,ISTJ
32,1,20,15,12,10,13,15,7,INTJ
33,1,20,16,11,11,12,16,6,INTJ
34,1,20,14,13,8,15,15,7,INTJ
35,1,20,15,12,12,11,16,6,INFJ
36,1,20,16,11,9,14,15,7,INTJ
37,1,20,14,13,8,15,15,7,INTJ
38,1,20,15,12,11,12,16,6,INTJ
39,1,20,16,11,9,14,15,7,INTJ
40,1,20,15,12,11,12,16,6,INTJ
41,1,20,14,13,11,12,15,7,INTJ
42,1,20,15,12,10,13,15,7,INTJ
43,1,20,15,12,8,15,15,7,INTJ
44,1,20,15,12,11,12,15,7,INTJ
45,1,20,17,10,11,12,17,5,INTJ
46,1,20,15,12,9,14,14,8,INTJ
47,1,20,15,12,12,11,15,7,INFJ
48,1,20,16,11,10,13,17,5,INTJ
49,1,20,16,11,10,13,15,7,INTJ
50,1,20,14,13,11,12,14,8,INTJ
51,1,20,16,11,11,12,15,7,INTJ
52,1,20,15,12,8,15,17,5,INTJ
53,1,20,17,10,10,13,15,7,INTJ
54,1,20,14,13,11,12,16,6,INTJ
55,1,20,17,10,11,12,15,7,INTJ
56,1,20,15,12,12,11,16,6,INFJ
57,1,20,15,12,11,12,15,7,INTJ
58,1,20,15,12,11,12,15,7,INTJ
59,1,20,14,13,9,14,15,7,INTJ
60,1,20,15,12,11,12,16,6,INTJ
61,1,20,13,14,10,13,15,7,ISTJ
62,1,20,14,13,11,12,16,6,INTJ
63,1,20,15,12,11,12,15,7,INTJ
64,1,20,14,13,11,12,17,5,INTJ
65,1,20,16,11,11,12,17,5,INTJ
66,1,20,15,12,9,14,16,6,INTJ
67,1,20,15,12,11,12,16,6,INTJ
68,1,20,13,14,10,13,16,6,ISTJ
69,1,20,15,12,12,11,15,7,INFJ
70,1,20,14,13,11,12,15,7,INTJ
71,1,20,15,12,12,11,14,8,INFJ
72,1,20,15,12,11,12,16,6,INTJ
73,1,20,15,12,10,13,16,6,INTJ
74,1,20,15,12,11,12,16,6,INTJ
75,1,20,15,12,10,13,15,7,INTJ
76,1,20,15,12,9,14,16,6,INTJ
77,1,20,15,12,11,12,14,8,INTJ
78,1,20,15,12,11,12,15,7,INTJ
79,1,20,16,11,11,12,16,6,INTJ
80,1,20,14,13,11,12,16,6,INTJ
81,1,20,16,11,10,13,16,6,INTJ
82,1,20,15,12,10,13,15,7,INTJ
83,1,20,15,12,10,13,15,7,INTJ
84,1,20,16,11,10,13,17,5,INTJ
85,1,20,16,11,11,12,16,6,INTJ
86,1,20,16,11,12,11,15,7,INFJ
87,1,20,16,11,11,12,16,6,INTJ
88,1,20,13,14,11,12,15,7,ISTJ
89,1,20,18,9,12,11,16,6,INFJ
90,1,20,15,12,8,15,15,7,INTJ
91,1,20,15,12,10,13,16,6,INTJ
92,1,20,14,13,9,14,15,7,INTJ
93,1,20,16,11,10,13,16,6,INTJ
94,1,20,14,13,11,12,16,6,INTJ
95,1,20,16,11,8,15,16,6,INTJ
96,1,20,17,10,10,13,15,7,INTJ
97,1,20,15,12,9,14,15,7,INTJ
98,1,20,15,12,11,12,15,7,INTJ
99,1,20,15,12,12,11,15,7,INFJ
100,1,20,15,12,10,13,15,7,INTJ
,100,2000,1503,1197,1048,1252,1541,659,
